kV,E0 (mA·min),Slope_m,Mu_1_per_mm,0mm,5mm,10mm,15mm,20mm,25mm,30mm,35mm,40mm,45mm,50mm,55mm,60mm,65mm,70mm
80,1.2004640442603989,0.18454338615228377,0.42492684996489244,1.2004640442603989,10.04768676543928,84.09748698352915,703.8821454179414,5891.377880711227,49309.864668786046,412715.46366339433,3454360.60494229,28912430.5715605,241992292.39683503,2025435718.1951327,16952564099.906378,141890175521.11084,1187597450790.5115,9939995492600.443
100,1.1479825053875237,0.127232775623911,0.29296429249187367,1.1479825053875237,4.967057045855373,21.49131679358922,92.98799938442629,402.3377493601216,1740.8231775258416,7532.142684177214,32589.854126044494,141008.82530916596,610112.8510170534,2639818.3954799697,11421888.83498808,49419893.725342914,213828547.19639215,925187088.6293058
120,1.1599092269590583,0.09063486257521101,0.20869448347124483,1.1599092269590583,3.2930499334444807,9.34916078958088,26.542812661820285,75.35659294528728,213.941761661527,607.3931370022241,1724.4245350333858,4895.741811804864,13899.296490460996,39460.91324994109,112031.83381173656,318064.9091348462,903004.8244408865,2563683.3537578797
140,1.1215681763869358,0.06704091431010643,0.15436740991114228,1.1215681763869358,2.4267791198020703,5.250912980857923,11.361597315371263,24.58351414834545,53.1922713951733,115.09411222106345,249.03344641072727,538.8430062528836,1165.9148181596936,2522.7336115157714,5458.533312679549,11810.833212679096,25555.542704794152,55295.486031879685
160,1.087416994731631,0.05333924182195209,0.12281814309083146,1.087416994731631,2.0095199643433244,3.713543660489688,6.862537702067376,12.681801539957128,23.43565853931975,43.30852280262443,80.03308907230232,147.8991877798917,273.3140754593446,505.0777152026559,933.3712431955668,1724.8471896545411,3187.4753474012928,5890.376348252558
180,1.0240900203803174,0.04460237015224293,0.10270075262475714,1.0240900203803174,1.7113939200963524,2.8599723573666522,4.779403379229524,7.987034071344391,13.347421884088813,22.305360082414904,37.2752950140343,62.29209540888349,104.0985765228281,173.9629011184894,290.7157040608025,485.825541216992,811.8806559188098,1356.7631660616025
200,0.983865698453146,0.03661145852730181,0.0843009986377349,0.983865698453146,1.499661051086948,2.2858640886485904,3.48423707342807,5.310861675519717,8.095101206403708,12.33898895239179,18.80775106885722,28.667786447732617,43.69698305788659,66.60529343074714,101.5233730694653,154.7473894116019,235.87429973707512,359.53230285824975
220,0.9179332597992466,0.03106431220996458,0.07152822221877737,0.9179332597992466,1.312600807627428,1.876956588936522,2.6839584558233742,3.837932659203027,5.488060765105432,7.847665302117101,11.221787317959766,16.046620970895674,22.945903115761777,32.81154772415225,46.91894926178759,67.09186102214188,95.93816328449685,137.18700054191672
240,0.9071903673249501,0.026208141710424727,0.060346476417499455,0.9071903673249501,1.2267021846784105,1.6587458422117212,2.2429549758860037,3.0329221607234325,4.101115239450445,5.5455251786748345,7.498655295391671,10.13967648282183,13.710863498349399,18.53982010065608,25.069531864719597,33.899003577383745,45.83820909542657,61.98239450547912
260,0.9182193915300654,0.02209416924445123,0.050873704744360926,0.9182193915300654,1.184178867294326,1.5271727026041122,1.9695136672283384,2.5399773573642532,3.2756741338089603,4.224463261373203,5.44806629649099,7.026082258154809,9.061165780995266,11.685705104773698,15.070434323378526,19.435540145753478,25.064985696610794,32.3249831627948
280,0.8739559884538202,0.019212803135892027,0.044239114095334243,0.8739559884538202,1.0903189950360117,1.3602464273281358,1.696999090617371,2.117120733198942,2.64125079602146,3.295138372643983,4.110907192617317,5.1286337735045615,6.398316271884801,7.982330757669063,9.958495581847782,12.423894381775918,15.499645537913995,19.33685239254558
300,0.8621685985681993,0.016525506443295136,0.03805138479050844,0.8621685985681993,1.0428449283560868,1.2613838481290807,1.525719854464919,1.8454501996050943,2.232183339068417,2.6999604000589437,3.2657649729295004,3.9501397347088436,4.777932292454194,5.7791973257774485,6.990287782650367,8.45517474655488,10.227043895419422,12.370226515005207
320,0.8589443808259642,0.013807835500298151,0.031793716189500505,0.8589443808259642,1.0069414540870338,1.180438587867482,1.3838294709894174,1.6222648297514233,1.9017828663287228,2.22946217185494,2.6136009865981173,3.0639273468646713,3.591845440448895,4.21072440940074,4.936236913832061,5.786756030643675,6.783820538345056,7.952680370966539
350,0.8738886770026824,0.011019955065344143,0.02537438425892565,0.8738886770026824,0.9921010003660328,1.1263040943649414,1.2786610561981078,1.4516275886926693,1.6479915815370025,1.870918046730387,2.1240001325230398,2.4113170380936584,2.737499762438316,3.1078057472170384,3.52820361665799,4.005469380364453,4.547295649629857,5.162415627618943
